year,negative,neutral,positive
2020,0.2,0.18181818181818182,0.6181818181818182
2021,0.17525773195876287,0.22164948453608246,0.6030927835051546
2022,0.29493087557603687,0.195852534562212,0.5092165898617511
2023,0.24875056792367106,0.17060427078600637,0.5806451612903226
2024,0.2894096905586966,0.19554380205483615,0.5150465073864673
2025,0.3054495343237824,0.18392468664596995,0.5106257790302476
